DATE,age_category,percent_positive_7d_avg
2020-09-06,0to13,0.0093
2020-09-07,0to13,0.0105
2020-09-08,0to13,0.0095
2020-09-09,0to13,0.0093
2020-09-10,0to13,0.0087
2020-09-11,0to13,0.0074
2020-09-12,0to13,0.0071
2020-09-13,0to13,0.0070
2020-09-14,0to13,0.0060
2020-09-15,0to13,0.0056
2020-09-16,0to13,0.0056
2020-09-17,0to13,0.0053
2020-09-18,0to13,0.0058
2020-09-19,0to13,0.0059
2020-09-20,0to13,0.0058
2020-09-21,0to13,0.0055
2020-09-22,0to13,0.0051
2020-09-23,0to13,0.0053
2020-09-24,0to13,0.0051
2020-09-25,0to13,0.0051
2020-09-26,0to13,0.0052
2020-09-27,0to13,0.0055
2020-09-28,0to13,0.0055
2020-09-29,0to13,0.0057
2020-09-30,0to13,0.0055
2020-10-01,0to13,0.0057
2020-10-02,0to13,0.0058
2020-10-03,0to13,0.0059
2020-10-04,0to13,0.0056
2020-10-05,0to13,0.0061
2020-10-06,0to13,0.0068
2020-10-07,0to13,0.0076
2020-10-08,0to13,0.0089
2020-10-09,0to13,0.0101
2020-10-10,0to13,0.0111
2020-10-11,0to13,0.0124
2020-10-12,0to13,0.0138
2020-10-13,0to13,0.0143
2020-10-14,0to13,0.0147
2020-10-15,0to13,0.0164
2020-10-16,0to13,0.0170
2020-10-17,0to13,0.0173
2020-10-18,0to13,0.0168
2020-10-19,0to13,0.0180
2020-10-20,0to13,0.0197
2020-10-21,0to13,0.0231
2020-10-22,0to13,0.0243
2020-10-23,0to13,0.0257
2020-10-24,0to13,0.0273
2020-10-25,0to13,0.0297
2020-10-26,0to13,0.0301
2020-10-27,0to13,0.0296
2020-10-28,0to13,0.0296
2020-10-29,0to13,0.0294
2020-10-30,0to13,0.0292
2020-10-31,0to13,0.0302
2020-11-01,0to13,0.0300
2020-11-02,0to13,0.0315
2020-11-03,0to13,0.0343
2020-11-04,0to13,0.0349
2020-11-05,0to13,0.0349
2020-11-06,0to13,0.0387
2020-11-07,0to13,0.0401
2020-11-08,0to13,0.0419
2020-11-09,0to13,0.0420
2020-11-10,0to13,0.0431
2020-11-11,0to13,0.0447
2020-11-12,0to13,0.0462
2020-11-13,0to13,0.0440
2020-11-14,0to13,0.0428
2020-11-15,0to13,0.0419
2020-11-16,0to13,0.0418
2020-11-17,0to13,0.0423
2020-11-18,0to13,0.0426
2020-11-19,0to13,0.0447
2020-11-20,0to13,0.0465
2020-11-21,0to13,0.0466
2020-11-22,0to13,0.0466
2020-11-23,0to13,0.0471
2020-11-24,0to13,0.0478
2020-11-25,0to13,0.0476
2020-11-26,0to13,0.0480
2020-11-27,0to13,0.0478
2020-11-28,0to13,0.0492
2020-11-29,0to13,0.0500
2020-11-30,0to13,0.0512
2020-12-01,0to13,0.0516
2020-12-02,0to13,0.0522
2020-12-03,0to13,0.0524
2020-12-04,0to13,0.0528
2020-12-05,0to13,0.0521
2020-12-06,0to13,0.0519
2020-12-07,0to13,0.0498
2020-12-08,0to13,0.0467
2020-12-09,0to13,0.0456
2020-12-10,0to13,0.0444
2020-12-11,0to13,0.0435
2020-12-12,0to13,0.0430
2020-12-13,0to13,0.0439
2020-12-14,0to13,0.0458
2020-12-15,0to13,0.0485
2020-12-16,0to13,0.0502
2020-12-17,0to13,0.0520
2020-12-18,0to13,0.0527
2020-12-19,0to13,0.0544
2020-12-20,0to13,0.0541
2020-12-21,0to13,0.0556
2020-12-22,0to13,0.0582
2020-12-23,0to13,0.0623
2020-12-24,0to13,0.0657
2020-12-25,0to13,0.0712
2020-12-26,0to13,0.0769
2020-12-27,0to13,0.0822
2020-12-28,0to13,0.0955
2020-12-29,0to13,0.1086
2020-12-30,0to13,0.1224
2020-12-31,0to13,0.1326
2021-01-01,0to13,0.1368
2021-01-02,0to13,0.1427
2021-01-03,0to13,0.1541
2021-01-04,0to13,0.1597
2021-01-05,0to13,0.1703
2021-01-06,0to13,0.1755
2021-01-07,0to13,0.1757
2021-01-08,0to13,0.1715
2021-01-09,0to13,0.1703
2021-01-10,0to13,0.1624
2021-01-11,0to13,0.1539
2021-01-12,0to13,0.1455
2021-01-13,0to13,0.1385
2021-01-14,0to13,0.1368
2021-01-15,0to13,0.1288
2021-01-16,0to13,0.1250
2021-01-17,0to13,0.1261
2021-01-18,0to13,0.1226
2021-01-19,0to13,0.1186
2021-01-20,0to13,0.1143
2021-01-21,0to13,0.1086
2021-01-22,0to13,0.1111
2021-01-23,0to13,0.1090
2021-01-24,0to13,0.1067
2021-01-25,0to13,0.1059
2021-01-26,0to13,0.1033
2021-01-27,0to13,0.1025
2021-01-28,0to13,0.1006
2021-01-29,0to13,0.0987
2021-01-30,0to13,0.0995
2021-01-31,0to13,0.0987
2021-02-01,0to13,0.0966
2021-02-02,0to13,0.0913
2021-02-03,0to13,0.0870
2021-02-04,0to13,0.0856
2021-02-05,0to13,0.0817
2021-02-06,0to13,0.0781
2021-02-07,0to13,0.0759
2021-02-08,0to13,0.0720
2021-02-09,0to13,0.0720
2021-02-10,0to13,0.0686
2021-02-11,0to13,0.0622
2021-02-12,0to13,0.0620
2021-02-13,0to13,0.0622
2021-02-14,0to13,0.0614
2021-02-15,0to13,0.0627
2021-02-16,0to13,0.0630
2021-02-17,0to13,0.0607
2021-02-18,0to13,0.0586
2021-02-19,0to13,0.0548
2021-02-20,0to13,0.0505
2021-02-21,0to13,0.0506
2021-02-22,0to13,0.0419
2021-02-23,0to13,0.0337
2021-02-24,0to13,0.0310
2021-02-25,0to13,0.0292
2021-02-26,0to13,0.0274
2021-02-27,0to13,0.0276
2021-02-28,0to13,0.0265
2021-03-01,0to13,0.0253
2021-03-02,0to13,0.0252
2021-03-03,0to13,0.0243
2021-03-04,0to13,0.0238
2021-03-05,0to13,0.0237
2021-03-06,0to13,0.0240
2021-03-07,0to13,0.0248
2021-03-08,0to13,0.0258
2021-03-09,0to13,0.0258
2021-03-10,0to13,0.0265
2021-03-11,0to13,0.0266
2021-03-12,0to13,0.0280
2021-03-13,0to13,0.0269
2021-03-14,0to13,0.0264
2021-03-15,0to13,0.0270
2021-03-16,0to13,0.0279
2021-03-17,0to13,0.0280
2021-03-18,0to13,0.0301
2021-03-19,0to13,0.0298
2021-03-20,0to13,0.0317
2021-03-21,0to13,0.0331
2021-03-22,0to13,0.0342
2021-03-23,0to13,0.0351
2021-03-24,0to13,0.0359
2021-03-25,0to13,0.0359
2021-03-26,0to13,0.0360
2021-03-27,0to13,0.0358
2021-03-28,0to13,0.0355
2021-03-29,0to13,0.0366
2021-03-30,0to13,0.0370
2021-03-31,0to13,0.0378
2021-04-01,0to13,0.0394
2021-04-02,0to13,0.0416
2021-04-03,0to13,0.0437
2021-04-04,0to13,0.0459
2021-04-05,0to13,0.0494
2021-04-06,0to13,0.0546
2021-04-07,0to13,0.0592
2021-04-08,0to13,0.0619
2021-04-09,0to13,0.0645
2021-04-10,0to13,0.0679
2021-04-11,0to13,0.0694
2021-04-12,0to13,0.0729
2021-04-13,0to13,0.0769
2021-04-14,0to13,0.0804
2021-04-15,0to13,0.0851
2021-04-16,0to13,0.0891
2021-04-17,0to13,0.0903
2021-04-18,0to13,0.0919
2021-04-19,0to13,0.0934
2021-04-20,0to13,0.0966
2021-04-21,0to13,0.1016
2021-04-22,0to13,0.1072
2021-04-23,0to13,0.1140
2021-04-24,0to13,0.1200
2021-04-25,0to13,0.1231
2021-04-26,0to13,0.1282
2021-04-27,0to13,0.1310
2021-04-28,0to13,0.1326
2021-04-29,0to13,0.1340
2021-04-30,0to13,0.1335
2021-05-01,0to13,0.1325
2021-05-02,0to13,0.1317
2021-05-03,0to13,0.1283
2021-05-04,0to13,0.1278
2021-05-05,0to13,0.1273
2021-05-06,0to13,0.1232
2021-05-07,0to13,0.1226
2021-05-08,0to13,0.1215
2021-05-09,0to13,0.1193
2021-05-10,0to13,0.1197
2021-05-11,0to13,0.1178
2021-05-12,0to13,0.1198
2021-05-13,0to13,0.1199
2021-05-14,0to13,0.1178
2021-05-15,0to13,0.1166
2021-05-16,0to13,0.1194
2021-05-17,0to13,0.1195
2021-05-18,0to13,0.1191
2021-05-19,0to13,0.1161
2021-05-20,0to13,0.1159
2021-05-21,0to13,0.1131
2021-05-22,0to13,0.1131
2021-05-23,0to13,0.1085
2021-05-24,0to13,0.1069
2021-05-25,0to13,0.1028
2021-05-26,0to13,0.0955
2021-05-27,0to13,0.0892
2021-05-28,0to13,0.0886
2021-05-29,0to13,0.0846
2021-05-30,0to13,0.0821
2021-05-31,0to13,0.0745
2021-06-01,0to13,0.0698
2021-06-02,0to13,0.0706
2021-06-03,0to13,0.0688
2021-06-04,0to13,0.0649
2021-06-05,0to13,0.0618
2021-06-06,0to13,0.0586
2021-06-07,0to13,0.0579
2021-06-08,0to13,0.0574
2021-06-09,0to13,0.0529
2021-06-10,0to13,0.0501
2021-06-11,0to13,0.0470
2021-06-12,0to13,0.0469
2021-06-13,0to13,0.0464
2021-06-14,0to13,0.0426
2021-06-15,0to13,0.0399
2021-06-16,0to13,0.0355
2021-06-17,0to13,0.0324
2021-06-18,0to13,0.0316
2021-06-19,0to13,0.0285
2021-06-20,0to13,0.0274
2021-06-21,0to13,0.0260
2021-06-22,0to13,0.0242
2021-06-23,0to13,0.0264
2021-06-24,0to13,0.0274
2021-06-25,0to13,0.0246
2021-06-26,0to13,0.0242
2021-06-27,0to13,0.0231
2021-06-28,0to13,0.0220
2021-06-29,0to13,0.0206
2021-06-30,0to13,0.0180
2021-07-01,0to13,0.0152
2021-07-02,0to13,0.0152
2021-07-03,0to13,0.0143
2021-07-04,0to13,0.0140
2021-07-05,0to13,0.0142
2021-07-06,0to13,0.0137
2021-07-07,0to13,0.0130
2021-07-08,0to13,0.0122
2021-07-09,0to13,0.0115
2021-07-10,0to13,0.0113
2021-07-11,0to13,0.0114
2021-07-12,0to13,0.0098
2021-07-13,0to13,0.0085
2021-07-14,0to13,0.0081
2021-07-15,0to13,0.0083
2021-07-16,0to13,0.0085
2021-07-17,0to13,0.0080
2021-07-18,0to13,0.0070
2021-07-19,0to13,0.0074
2021-07-20,0to13,0.0083
2021-07-21,0to13,0.0086
2021-07-22,0to13,0.0086
2021-07-23,0to13,0.0083
2021-07-24,0to13,0.0085
2021-07-25,0to13,0.0087
2021-07-26,0to13,0.0082
2021-07-27,0to13,0.0078
2021-07-28,0to13,0.0080
2021-07-29,0to13,0.0082
2021-07-30,0to13,0.0086
2021-07-31,0to13,0.0092
2021-08-01,0to13,0.0099
2021-08-02,0to13,0.0113
2021-08-03,0to13,0.0109
2021-08-04,0to13,0.0109
2021-08-05,0to13,0.0116
2021-08-06,0to13,0.0116
2021-08-07,0to13,0.0121
2021-08-08,0to13,0.0127
2021-08-09,0to13,0.0121
2021-08-10,0to13,0.0130
2021-08-11,0to13,0.0131
2021-08-12,0to13,0.0135
2021-08-13,0to13,0.0137
2021-08-14,0to13,0.0135
2021-08-15,0to13,0.0131
2021-08-16,0to13,0.0141
2021-08-17,0to13,0.0150
2021-08-18,0to13,0.0164
2021-08-19,0to13,0.0168
2021-08-20,0to13,0.0173
2021-08-21,0to13,0.0177
2021-08-22,0to13,0.0189
2021-08-23,0to13,0.0192
2021-08-24,0to13,0.0198
2021-08-25,0to13,0.0204
2021-08-26,0to13,0.0213
2021-08-27,0to13,0.0228
2021-08-28,0to13,0.0245
2021-08-29,0to13,0.0253
2021-08-30,0to13,0.0267
2021-08-31,0to13,0.0285
2021-09-01,0to13,0.0303
2021-09-02,0to13,0.0326
2021-09-03,0to13,0.0346
2021-09-04,0to13,0.0342
2021-09-05,0to13,0.0340
2021-09-06,0to13,0.0352
2021-09-07,0to13,0.0346
2021-09-08,0to13,0.0341
2021-09-09,0to13,0.0338
2021-09-10,0to13,0.0335
2021-09-11,0to13,0.0328
2021-09-12,0to13,0.0317
2021-09-13,0to13,0.0277
2021-09-14,0to13,0.0247
2021-09-15,0to13,0.0224
2021-09-16,0to13,0.0204
2021-09-17,0to13,0.0188
2021-09-18,0to13,0.0180
2021-09-19,0to13,0.0175
2021-09-20,0to13,0.0170
2021-09-21,0to13,0.0175
2021-09-22,0to13,0.0172
2021-09-23,0to13,0.0160
2021-09-24,0to13,0.0153
2021-09-25,0to13,0.0149
2021-09-26,0to13,0.0143
2021-09-27,0to13,0.0139
2021-09-28,0to13,0.0131
2021-09-29,0to13,0.0128
2021-09-30,0to13,0.0130
2021-10-01,0to13,0.0127
2021-10-02,0to13,0.0123
2021-10-03,0to13,0.0126
2021-10-04,0to13,0.0126
2021-10-05,0to13,0.0123
2021-10-06,0to13,0.0122
2021-10-07,0to13,0.0123
2021-10-08,0to13,0.0121
2021-10-09,0to13,0.0120
2021-10-10,0to13,0.0119
2021-10-11,0to13,0.0122
2021-10-12,0to13,0.0120
2021-10-13,0to13,0.0113
2021-10-14,0to13,0.0108
2021-10-15,0to13,0.0110
2021-10-16,0to13,0.0116
2021-10-17,0to13,0.0114
2021-10-18,0to13,0.0110
2021-10-19,0to13,0.0114
2021-10-20,0to13,0.0120
2021-10-21,0to13,0.0118
2021-10-22,0to13,0.0116
2021-10-23,0to13,0.0114
2021-10-24,0to13,0.0113
2021-10-25,0to13,0.0115
2021-10-26,0to13,0.0114
2021-10-27,0to13,0.0110
2021-10-28,0to13,0.0111
2021-10-29,0to13,0.0108
2021-10-30,0to13,0.0108
2021-10-31,0to13,0.0111
2021-11-01,0to13,0.0108
2021-11-02,0to13,0.0111
2021-11-03,0to13,0.0111
2021-11-04,0to13,0.0115
2021-11-05,0to13,0.0123
2021-11-06,0to13,0.0129
2021-11-07,0to13,0.0132
2021-11-08,0to13,0.0136
2021-11-09,0to13,0.0141
2021-11-10,0to13,0.0153
2021-11-11,0to13,0.0155
2021-11-12,0to13,0.0161
2021-11-13,0to13,0.0156
2021-11-14,0to13,0.0155
2021-11-15,0to13,0.0162
2021-11-16,0to13,0.0166
2021-11-17,0to13,0.0172
2021-11-18,0to13,0.0179
2021-11-19,0to13,0.0178
2021-11-20,0to13,0.0183
2021-11-21,0to13,0.0190
2021-11-22,0to13,0.0199
2021-11-23,0to13,0.0207
2021-11-24,0to13,0.0213
2021-11-25,0to13,0.0221
2021-11-26,0to13,0.0230
2021-11-27,0to13,0.0238
2021-11-28,0to13,0.0239
2021-11-29,0to13,0.0241
2021-11-30,0to13,0.0245
2021-12-01,0to13,0.0250
2021-12-02,0to13,0.0250
2021-12-03,0to13,0.0256
2021-12-04,0to13,0.0256
2021-12-05,0to13,0.0263
2021-12-06,0to13,0.0267
2021-12-07,0to13,0.0276
2021-12-08,0to13,0.0281
2021-12-09,0to13,0.0291
2021-12-10,0to13,0.0297
2021-12-11,0to13,0.0311
2021-12-12,0to13,0.0315
2021-12-13,0to13,0.0339
2021-12-14,0to13,0.0359
2021-12-15,0to13,0.0385
2021-12-16,0to13,0.0420
2021-12-17,0to13,0.0462
2021-12-18,0to13,0.0496
2021-12-19,0to13,0.0534
2021-12-20,0to13,0.0612
2021-12-21,0to13,0.0733
2021-12-22,0to13,0.0855
2021-12-23,0to13,0.0992
2021-12-24,0to13,0.1144
2021-12-25,0to13,0.1230
2021-12-26,0to13,0.1350
2021-12-27,0to13,0.1619
2021-12-28,0to13,0.1935
2021-12-29,0to13,0.2348
2021-12-30,0to13,0.2768
2021-12-31,0to13,0.3068
2022-01-01,0to13,0.3136
2022-01-02,0to13,0.3218
2022-01-03,0to13,0.3286
2022-01-04,0to13,0.3310
2022-01-05,0to13,0.3238
2022-01-06,0to13,0.3036
2022-01-07,0to13,0.2943
2022-01-08,0to13,0.3022
2022-01-09,0to13,0.3064
2022-01-10,0to13,0.3044
2022-01-11,0to13,0.2990
2022-01-12,0to13,0.2883
2022-01-13,0to13,0.2850
2022-01-14,0to13,0.2829
2022-01-15,0to13,0.2843
2022-01-16,0to13,0.2844
2022-01-17,0to13,0.2776
2022-01-18,0to13,0.2774
2022-01-19,0to13,0.2833
2022-01-20,0to13,0.2843
2022-01-21,0to13,0.2862
2022-01-22,0to13,0.2784
2022-01-23,0to13,0.2729
2022-01-24,0to13,0.2808
2022-01-25,0to13,0.2729
2022-01-26,0to13,0.2644
2022-01-27,0to13,0.2543
2022-01-28,0to13,0.2532
2022-01-29,0to13,0.2457
2022-01-30,0to13,0.2466
2022-01-31,0to13,0.2406
2022-02-01,0to13,0.2412
2022-02-02,0to13,0.2367
2022-02-03,0to13,0.2381
2022-02-04,0to13,0.2259
2022-02-05,0to13,0.2308
2022-02-06,0to13,0.2280
2022-02-07,0to13,0.2228
2022-02-08,0to13,0.2113
2022-02-09,0to13,0.2069
2022-02-10,0to13,0.2014
2022-02-11,0to13,0.2040
2022-02-12,0to13,0.1948
2022-02-13,0to13,0.1890
2022-02-14,0to13,0.1856
2022-02-15,0to13,0.1824
2022-02-16,0to13,0.1844
2022-02-17,0to13,0.1735
2022-02-18,0to13,0.1709
2022-02-19,0to13,0.1729
2022-02-20,0to13,0.1737
2022-02-21,0to13,0.1668
2022-02-22,0to13,0.1708
2022-02-23,0to13,0.1624
2022-02-24,0to13,0.1675
2022-02-25,0to13,0.1572
2022-02-26,0to13,0.1557
2022-02-27,0to13,0.1520
2022-02-28,0to13,0.1596
2022-03-01,0to13,0.1543
2022-03-02,0to13,0.1565
2022-03-03,0to13,0.1568
2022-03-04,0to13,0.1655
2022-03-05,0to13,0.1683
2022-03-06,0to13,0.1753
2022-03-07,0to13,0.1753
2022-03-08,0to13,0.1726
2022-03-09,0to13,0.1713
2022-03-10,0to13,0.1717
2022-03-11,0to13,0.1679
2022-03-12,0to13,0.1688
2022-03-13,0to13,0.1688
2022-03-14,0to13,0.1675
2022-03-15,0to13,0.1804
2022-03-16,0to13,0.1872
2022-03-17,0to13,0.1902
2022-03-18,0to13,0.1945
2022-03-19,0to13,0.1893
2022-03-20,0to13,0.1845
2022-03-21,0to13,0.1786
2022-03-22,0to13,0.1660
2022-03-23,0to13,0.1576
2022-03-24,0to13,0.1586
2022-03-25,0to13,0.1525
2022-03-26,0to13,0.1556
2022-03-27,0to13,0.1604
2022-03-28,0to13,0.1678
2022-03-29,0to13,0.1799
2022-03-30,0to13,0.1873
2022-03-31,0to13,0.1974
2022-04-01,0to13,0.2035
2022-04-02,0to13,0.2086
2022-04-03,0to13,0.2121
2022-04-04,0to13,0.2170
2022-04-05,0to13,0.2231
2022-04-06,0to13,0.2239
2022-04-07,0to13,0.2185
2022-04-08,0to13,0.2247
2022-04-09,0to13,0.2193
2022-04-10,0to13,0.2180
2022-04-11,0to13,0.2117
2022-04-12,0to13,0.2076
2022-04-13,0to13,0.2021
2022-04-14,0to13,0.1998
2022-04-15,0to13,0.1931
2022-04-16,0to13,0.1963
2022-04-17,0to13,0.1908
2022-04-18,0to13,0.1898
2022-04-19,0to13,0.1896
2022-04-20,0to13,0.1954
2022-04-21,0to13,0.1925
2022-04-22,0to13,0.1846
2022-04-23,0to13,0.1774
2022-04-24,0to13,0.1785
2022-04-25,0to13,0.1681
2022-04-26,0to13,0.1551
2022-04-27,0to13,0.1426
2022-04-28,0to13,0.1406
2022-04-29,0to13,0.1396
2022-04-30,0to13,0.1394
2022-05-01,0to13,0.1340
2022-05-02,0to13,0.1297
2022-05-03,0to13,0.1285
2022-05-04,0to13,0.1309
2022-05-05,0to13,0.1241
2022-05-06,0to13,0.1236
2022-05-07,0to13,0.1245
2022-05-08,0to13,0.1266
2022-05-09,0to13,0.1306
2022-05-10,0to13,0.1325
2022-05-11,0to13,0.1304
2022-05-12,0to13,0.1277
2022-05-13,0to13,0.1253
2022-05-14,0to13,0.1198
2022-05-15,0to13,0.1165
2022-05-16,0to13,0.1089
2022-05-17,0to13,0.0995
2022-05-18,0to13,0.0987
2022-05-19,0to13,0.0969
2022-05-20,0to13,0.0934
2022-05-21,0to13,0.0915
2022-05-22,0to13,0.0884
2022-05-23,0to13,0.0868
2022-05-24,0to13,0.0851
2022-05-25,0to13,0.0772
2022-05-26,0to13,0.0794
2022-05-27,0to13,0.0763
2022-05-28,0to13,0.0743
2022-05-29,0to13,0.0720
2022-05-30,0to13,0.0690
2022-05-31,0to13,0.0657
2022-06-01,0to13,0.0638
2022-06-02,0to13,0.0587
2022-06-03,0to13,0.0583
2022-06-04,0to13,0.0588
2022-06-05,0to13,0.0597
2022-06-06,0to13,0.0571
2022-06-07,0to13,0.0536
2022-06-08,0to13,0.0570
2022-06-09,0to13,0.0562
2022-06-10,0to13,0.0559
2022-06-11,0to13,0.0512
2022-06-12,0to13,0.0516
2022-06-13,0to13,0.0494
2022-06-14,0to13,0.0517
2022-06-15,0to13,0.0476
2022-06-16,0to13,0.0482
2022-06-17,0to13,0.0496
2022-06-18,0to13,0.0538
2022-06-19,0to13,0.0522
2022-06-20,0to13,0.0565
2022-06-21,0to13,0.0585
2022-06-22,0to13,0.0613
2022-06-23,0to13,0.0613
2022-06-24,0to13,0.0612
2022-06-25,0to13,0.0633
2022-06-26,0to13,0.0669
2022-06-27,0to13,0.0695
2022-06-28,0to13,0.0707
2022-06-29,0to13,0.0737
2022-06-30,0to13,0.0808
2022-07-01,0to13,0.0868
2022-07-02,0to13,0.0875
2022-07-03,0to13,0.0894
2022-07-04,0to13,0.0914
2022-07-05,0to13,0.0913
2022-07-06,0to13,0.0912
2022-07-07,0to13,0.0918
2022-07-08,0to13,0.0905
2022-07-09,0to13,0.0895
2022-07-10,0to13,0.0886
2022-07-11,0to13,0.0912
2022-07-12,0to13,0.0970
2022-07-13,0to13,0.0990
2022-07-14,0to13,0.0964
2022-07-15,0to13,0.1042
2022-07-16,0to13,0.1114
2022-07-17,0to13,0.1091
2022-07-18,0to13,0.1057
2022-07-19,0to13,0.1100
2022-07-20,0to13,0.1126
2022-07-21,0to13,0.1130
2022-07-22,0to13,0.1045
2022-07-23,0to13,0.0999
2022-07-24,0to13,0.1032
2022-07-25,0to13,0.1082
2022-07-26,0to13,0.1045
2022-07-27,0to13,0.1001
2022-07-28,0to13,0.0991
2022-07-29,0to13,0.1044
2022-07-30,0to13,0.1029
2022-07-31,0to13,0.1051
2022-08-01,0to13,0.1030
2022-08-02,0to13,0.1018
2022-08-03,0to13,0.1001
2022-08-04,0to13,0.1001
2022-08-05,0to13,0.0898
2022-08-06,0to13,0.0901
2022-08-07,0to13,0.0855
2022-08-08,0to13,0.0865
2022-08-09,0to13,0.0854
2022-08-10,0to13,0.0866
2022-08-11,0to13,0.0860
2022-08-12,0to13,0.0878
2022-08-13,0to13,0.0875
2022-08-14,0to13,0.0848
2022-08-15,0to13,0.0830
2022-08-16,0to13,0.0809
2022-08-17,0to13,0.0829
2022-08-18,0to13,0.0846
2022-08-19,0to13,0.0858
2022-08-20,0to13,0.0876
2022-08-21,0to13,0.0895
2022-08-22,0to13,0.0900
2022-08-23,0to13,0.0913
2022-08-24,0to13,0.0868
2022-08-25,0to13,0.0837
2022-08-26,0to13,0.0853
2022-08-27,0to13,0.0805
2022-08-28,0to13,0.0817
2022-08-29,0to13,0.0801
2022-08-30,0to13,0.0805
2022-08-31,0to13,0.0805
2022-09-01,0to13,0.0802
2022-09-02,0to13,0.0750
2022-09-03,0to13,0.0734
2022-09-04,0to13,0.0705
2022-09-05,0to13,0.0652
2022-09-06,0to13,0.0611
2022-09-07,0to13,0.0567
2022-09-08,0to13,0.0556
2022-09-09,0to13,0.0565
2022-09-10,0to13,0.0586
2022-09-11,0to13,0.0581
2022-09-12,0to13,0.0625
2022-09-13,0to13,0.0632
2022-09-14,0to13,0.0665
2022-09-15,0to13,0.0678
2022-09-16,0to13,0.0689
2022-09-17,0to13,0.0664
2022-09-18,0to13,0.0687
2022-09-19,0to13,0.0695
